Category,Name,Description,URL,Image URL,Landing Page URL
Tech,Spotlight by Xartup,Actionable insights on the global startup ecosystem,https://inboxreads.co/n/spotlight-by-xartup,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1734389529239-403983262.jpg?tr=w-600,f-webp",../l/newsletter/spotlight-by-xartup?source=newsletter-details
Tech,Curious Creator,Empowering creatives to become business savvy,https://inboxreads.co/n/the-creative-newsletter-by-wishu,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727206646204-846481100.jpg?tr=w-600,f-webp",../l/newsletter/the-creative-newsletter-by-wishu?source=newsletter-details
Tech,What's Hot in Enterprise IT/VC,"Stories on VC, software, & scaling startups",https://inboxreads.co/n/whats-hot-in-enterprise-it-vc,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211943641-952404202.jpg?tr=w-600,f-webp",../l/newsletter/whats-hot-in-enterprise-it-vc?source=newsletter-details
Tech,Napkin Math,"Business breakdowns, by the numbers.",https://inboxreads.co/n/napkin-math,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727210906996-540653996.jpg?tr=w-600,f-webp",../l/newsletter/napkin-math?source=newsletter-details
Tech,Public Sphere,Trying to make sense of democratic decline.,https://inboxreads.co/n/public-sphere,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727207129346-139696911.jpg?tr=w-600,f-webp",../l/newsletter/public-sphere?source=newsletter-details
Tech,The Ed's Up,Writing by Ed Wong.,https://inboxreads.co/n/the-eds-up,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727210506697-929484038.jpg?tr=w-600,f-webp",../l/newsletter/the-eds-up?source=newsletter-details
Business,Daily Skimm,The morning newsletter that millions wake up to,https://inboxreads.co/n/theskimm,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727217017190-465903861.jpg?tr=w-600,f-webp",../l/newsletter/theskimm?source=newsletter-details
Business,1440 Daily Digest,Feed your curiosity & expand your knowledge.,https://inboxreads.co/n/1440-daily-digest,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727905211476-608295489.jpg?tr=w-600,f-webp",../l/newsletter/1440-daily-digest?source=newsletter-details
Business,Need 2 Know,All the news you need to start your day,https://inboxreads.co/n/need-2-know,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727303986143-224438698.jpg?tr=w-600,f-webp",../l/newsletter/need-2-know?source=newsletter-details
Business,Morning Brew,Become smarter in just 5 minutes,https://inboxreads.co/n/morning-brew,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727293714098-653338895.jpg?tr=w-600,f-webp",../l/newsletter/morning-brew?source=newsletter-details
Business,The Hustle,Fresh tech and business news,https://inboxreads.co/n/the-hustle,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727304691941-21084438.jpg?tr=w-600,f-webp",../l/newsletter/the-hustle?source=newsletter-details
Business,Psych,Psychology to Improve Your Personal & Professional Life,https://inboxreads.co/n/psych,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1728842234825-223522512.jpg?tr=w-600,f-webp",../l/newsletter/psych?source=newsletter-details
Business,Axios Gaming,News on the video gaming universe,https://inboxreads.co/n/axios-gaming,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727290176838-591827081.jpg?tr=w-600,f-webp",../l/newsletter/axios-gaming?source=newsletter-details
Business,The Daily Navigator,A five-minute trip through the news.,https://inboxreads.co/n/the-navigator,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727305241802-331747927.jpg?tr=w-600,f-webp",../l/newsletter/the-navigator?source=newsletter-details
Business,The Daily DONUT,News that doesn’t suck. 🙃,https://inboxreads.co/n/the-daily-donut,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727290145817-917794914.jpg?tr=w-600,f-webp",../l/newsletter/the-daily-donut?source=newsletter-details
Business,Refind,Get smarter every day,https://inboxreads.co/n/refind,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1728733414493-757598810.jpg?tr=w-600,f-webp",../l/newsletter/refind?source=newsletter-details
Business,Marketing Secrets,Transform Your Business Just 2 Minutes a Day,https://inboxreads.co/n/marketing-secrets,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727287936370-375891421.jpg?tr=w-600,f-webp",../l/newsletter/marketing-secrets?source=newsletter-details
Business,KDnuggets News,The latest from KDnuggets,https://inboxreads.co/n/kdnuggets-news,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727305892628-499299985.jpg?tr=w-600,f-webp",../l/newsletter/kdnuggets-news?source=newsletter-details
Business,Starter Story,Learn How People Start Successful Businesses,https://inboxreads.co/n/starter-story,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727306189889-530239641.jpg?tr=w-600,f-webp",../l/newsletter/starter-story?source=newsletter-details
Business,IndieHackers,Get the latest and greatest from IndieHackers,https://inboxreads.co/n/indiehackers,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727307989914-745812611.jpg?tr=w-600,f-webp",../l/newsletter/indiehackers?source=newsletter-details
Business,TheFutureParty,"Modern take on business, culture, tech & more",https://inboxreads.co/n/thefutureparty,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727287309373-60837617.jpg?tr=w-600,f-webp",../l/newsletter/thefutureparty?source=newsletter-details
Business,Scott's Newsletter,Actionable ideas to up-skill your life.,https://inboxreads.co/n/scottdclary-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727306492641-855984714.jpg?tr=w-600,f-webp",../l/newsletter/scottdclary-newsletter?source=newsletter-details
Business,Life Designed,"Resources and notes on lifestyle design, future of work, and creative fulfillment.",https://inboxreads.co/n/life-designed,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727200833287-589155851.jpg?tr=w-600,f-webp",../l/newsletter/life-designed?source=newsletter-details
Business,Axios Daily Essentials,Start and end your day with news that matters,https://inboxreads.co/n/axios-am-pm,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727944693848-870470125.jpg?tr=w-600,f-webp",../l/newsletter/axios-am-pm?source=newsletter-details
Business,The Daily Upside,Get more than news. Get insights.,https://inboxreads.co/n/the-daily-upside,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727287858657-652946897.jpg?tr=w-600,f-webp",../l/newsletter/the-daily-upside?source=newsletter-details
Business,The Peak,Morning Brew for Canada,https://inboxreads.co/n/the-peak,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727309587224-231784805.jpg?tr=w-600,f-webp",../l/newsletter/the-peak?source=newsletter-details
Business,Exponential View,Analysis on AI and exponential technologies.,https://inboxreads.co/n/exponential-view,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727310116091-390965857.jpg?tr=w-600,f-webp",../l/newsletter/exponential-view?source=newsletter-details
Business,Human Factors and Change,"Clever, thoughtful change management, behavioural design and coaching psychology insights.",https://inboxreads.co/n/human-factors-and-change,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727206563920-246087682.jpg?tr=w-600,f-webp",../l/newsletter/human-factors-and-change?source=newsletter-details
Business,Sifted,"For Europe's startups, innovators, & entrepreneurs",https://inboxreads.co/n/sifted,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727309762229-906954291.jpg?tr=w-600,f-webp",../l/newsletter/sifted?source=newsletter-details
Business,Not Boring,Strategy and investing,https://inboxreads.co/n/not-boring,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727308464970-188483539.jpg?tr=w-600,f-webp",../l/newsletter/not-boring?source=newsletter-details
Business,Decarbonfuse,Follow the money in climate + energy tech,https://inboxreads.co/n/decarbonfuse,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211397423-275897067.jpg?tr=w-600,f-webp",../l/newsletter/decarbonfuse?source=newsletter-details
Business,Above The Bottom Line,Weekly updates on how companies are taking a stance on the issues you care about.,https://inboxreads.co/n/above-the-bottom-line,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727208565899-464998091.jpg?tr=w-600,f-webp",../l/newsletter/above-the-bottom-line?source=newsletter-details
Business,Fortune The Reader,The most captivating stories from Fortune,https://inboxreads.co/n/fortune-the-reader,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1728055267962-199026649.jpg?tr=w-600,f-webp",../l/newsletter/fortune-the-reader?source=newsletter-details
Business,Sivv digest,Sivv distills the world's best thinking into actionable insights,https://inboxreads.co/n/sivv-digest,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727210647964-599803545.jpg?tr=w-600,f-webp",../l/newsletter/sivv-digest?source=newsletter-details
Business,The Ghost Newsletter,Stories & ideas about indie publishing,https://inboxreads.co/n/the-ghost-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727393448376-519222622.jpg?tr=w-600,f-webp",../l/newsletter/the-ghost-newsletter?source=newsletter-details
Business,The Water Coolest,Your Daily Dose of Biz & Markets News.,https://inboxreads.co/n/the-water-coolest,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727209973791-817395529.jpg?tr=w-600,f-webp",../l/newsletter/the-water-coolest?source=newsletter-details
Business,Curious Creator,Empowering creatives to become business savvy,https://inboxreads.co/n/the-creative-newsletter-by-wishu,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727206646204-846481100.jpg?tr=w-600,f-webp",../l/newsletter/the-creative-newsletter-by-wishu?source=newsletter-details
Business,Marketing Examples,Real world marketing examples,https://inboxreads.co/n/marketing-examples,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727293630261-419348357.jpg?tr=w-600,f-webp",../l/newsletter/marketing-examples?source=newsletter-details
Business,Front Office Sports,The influence of sports on business & culture,https://inboxreads.co/n/front-office-sports,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727394602136-727388100.jpg?tr=w-600,f-webp",../l/newsletter/front-office-sports?source=newsletter-details
Business,The Smarter Brain,Bite-Sized Ideas and Tools For Better Habits,https://inboxreads.co/n/the-smarter-brain,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727202542762-740155895.jpg?tr=w-600,f-webp",../l/newsletter/the-smarter-brain?source=newsletter-details
Business,Year 2049,How technology and design shape the future,https://inboxreads.co/n/year-2049,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1728732214695-205938564.jpg?tr=w-600,f-webp",../l/newsletter/year-2049?source=newsletter-details
Business,Tip News,Your quick & unbiased daily news brief,https://inboxreads.co/n/tip-news,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727207505404-839212973.jpg?tr=w-600,f-webp",../l/newsletter/tip-news?source=newsletter-details
Business,Axios Pro Rata,"Business news stories on VC, PE and M&A",https://inboxreads.co/n/axios-pro-rata,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1728651433538-798779519.jpg?tr=w-600,f-webp",../l/newsletter/axios-pro-rata?source=newsletter-details
Business,Lenny's Newsletter,The #1 business newsletter,https://inboxreads.co/n/lennys-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727202475121-432425280.jpg?tr=w-600,f-webp",../l/newsletter/lennys-newsletter?source=newsletter-details
Business,The Weekly Index,Exclusive Q&A interviews with startup industry experts,https://inboxreads.co/n/startup-index-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727468155101-156827325.jpg?tr=w-600,f-webp",../l/newsletter/startup-index-newsletter?source=newsletter-details
Business,Newsletter Circle,The newsletter for newsletter creators!,https://inboxreads.co/n/newsletter-circle,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727217148965-814113269.jpg?tr=w-600,f-webp",../l/newsletter/newsletter-circle?source=newsletter-details
Business,Python Email Academy,Python Cheat Sheets and Email Academy,https://inboxreads.co/n/python-email-academy,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727211939174-347531057.jpg?tr=w-600,f-webp",../l/newsletter/python-email-academy?source=newsletter-details
Business,For The Interested,"Ideas to help you learn, do, and become.",https://inboxreads.co/n/for-the-interested,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727210427834-115572432.jpg?tr=w-600,f-webp",../l/newsletter/for-the-interested?source=newsletter-details
Development,Awesome Node.js,"Node.js news, articles and more",https://inboxreads.co/n/awesome-node.js-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727465968291-10223554.jpg?tr=w-600,f-webp",../l/newsletter/awesome-node.js-newsletter?source=newsletter-details
Development,Kotlin Weekly,Get your weekly Kotlin dose,https://inboxreads.co/n/kotlin-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727305041935-72359592.jpg?tr=w-600,f-webp",../l/newsletter/kotlin-weekly?source=newsletter-details
